transformation_id,mapping_id,mapping_name,transformation_name,transformation_type,reusable_flag,attribute_count,port_count
AST_e7827637b2b54623,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,LKP_FLAG,Lookup Procedure,NO,32,9
AST_d5688fb50951b36a,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,EXP_FLAG,Expression,NO,1,42
AST_367163a65c3cd9dc,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,Lkp_W_PAY_GRADE_D,Lookup Procedure,NO,32,5
AST_c5a3fa614773be81,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,FIL_HDCNT,Filter,NO,2,95
AST_5870dcae28d98d0f,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,LKP_W_POSITION_DH,Lookup Procedure,NO,32,6
AST_a0a78f64d486df91,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,LKP_W_MCAL_PERIOD_D,Lookup Procedure,NO,32,4
AST_0b4046374e3d5a42,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,EXP_HDCNT_WID_NULL,Expression,NO,1,62
AST_431bb4e021481f03,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,EXP_HDCNT,Expression,NO,1,98
AST_d515025d3bf13e3e,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,SQ_WC_WRKFC_HEADCNT_FS1,Source Qualifier,NO,11,89
AST_e0b8801328741194,AST_bcf1b6b75936b6e5,SIL_EmployeeHeadCount,EXPTRANS,Expression,NO,1,89
AST_a8ca62624b882859,AST_e9ca45f91eff7722,SIL_ProjectCostLine_Fact,FIL_ETL_PROC_WID,Filter,NO,2,155
AST_27e22eb415a0df97,AST_e9ca45f91eff7722,SIL_ProjectCostLine_Fact,UPD_PROJ_COST_LINE_FACT,Update Strategy,NO,3,164
AST_95fcdb32341f8e45,AST_e9ca45f91eff7722,SIL_ProjectCostLine_Fact,SQ_W_PROJ_COST_LINE_FS,Source Qualifier,NO,11,154
AST_643fcbcdd99abb5b,AST_e9ca45f91eff7722,SIL_ProjectCostLine_Fact,EXPTRANS_FROM_CURCY_CD_SWITCH,Expression,NO,1,4
AST_925c232c3b148b6d,AST_e9ca45f91eff7722,SIL_ProjectCostLine_Fact,EXP_Custom_DIR_INDIR_Metrics,Expression,NO,1,37
AST_452829484daa4b8f,AST_e9ca45f91eff7722,SIL_ProjectCostLine_Fact,EXP_Customer_Wid,Expression,NO,1,6
AST_7dfb9b6fe78af3c0,AST_e9ca45f91eff7722,SIL_ProjectCostLine_Fact,EXP_Custom_Extension,Expression,NO,1,64
