file_name,repository_name,folder_name,mapping_name,transformation_name,port_scope,port_name,datatype,precision,scale,port_type,expression
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,ENTITY,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,PU,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,CURRENCY,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,ACCOUNT,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,PROJECT,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,AUDITTRAIL,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,TRANSFORMATION,AMOUNT,string,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,TRANSFORMATION,SCENARIO,nstring,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,TRANSFORMATION,PERIOD,nstring,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,TRANSFORMATION,LEGAL_ENTITY,nstring,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,TRANSFORMATION,PERFORMANCE_UNIT,nstring,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,TRANSFORMATION,CURRENCY,nstring,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,TRANSFORMATION,ACCOUNT,nstring,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,TRANSFORMATION,AUDITTRAIL,nstring,30,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,TRANSFORMATION,AMOUNT,decimal,15,0,INPUT/OUTPUT,
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,EXPTRANS,TRANSFORMATION,SCENARIO,nstring,30,0,INPUT/OUTPUT,SCENARIO
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,EXPTRANS,TRANSFORMATION,PERIOD,nstring,30,0,INPUT/OUTPUT,PERIOD
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,EXPTRANS,TRANSFORMATION,LEGAL_ENTITY,nstring,30,0,INPUT/OUTPUT,LEGAL_ENTITY
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,EXPTRANS,TRANSFORMATION,PERFORMANCE_UNIT,nstring,30,0,INPUT/OUTPUT,PERFORMANCE_UNIT
