column_name,datatype,file_name,folder_name,precision,repository_name,scale,source_name
commercial_prev1_sub_dt,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commercial_prev1_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commercial_prev2_sub_dt,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commercial_prev2_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commercial_prev3_sub_dt,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commercial_prev3_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_comment,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,750,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_actions,int,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_prev1_sub_dt,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_prev1_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_prev2_sub_dt,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_prev2_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_prev3_sub_dt,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
commstake_prev3_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
field_rating,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,ProjectReview_Submitted
field_comment,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,750,BIINFAPROD_FLEX,0,ProjectReview_Submitted
field_actions,int,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,ProjectReview_Submitted
field_prev1_sub_dt,varchar,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,Custom_SDE_ORAR1213_Adaptor,50,BIINFAPROD_FLEX,0,ProjectReview_Submitted
